,College,F24 Enrollment Count,F24Retention Count,F24Success Count,F24Retention Rate,F24Success Rate,S24Enrollment Count,S24Retention Count,S24Success Count,S24Retention Rate,S24Success Rate,College Name
30,Simultaneous Interaction (Internet Based) Total,6,5,3,83.33%,50.00%,24,24,20,100.00%,83.33%,Madera Total
31,Accounting-050200,6,5,3,83.33%,50.00%,24,24,20,100.00%,83.33%,Madera Total
32,Marin Total,871,805,677,92.42%,77.73%,794,735,579,92.57%,72.92%,Marin Total
33,Delayed Interaction (Internet Based) Total,476,433,366,90.97%,76.89%,468,427,340,91.24%,72.65%,Marin Total
34,Accounting-050200,57,55,51,96.49%,89.47%,73,70,65,95.89%,89.04%,Marin Total
35,Banking and Finance-050400,29,25,19,86.21%,65.52%,34,33,30,97.06%,88.24%,Marin Total
36,Business Administration-050500,92,90,83,97.83%,90.22%,71,71,67,100.00%,94.37%,Marin Total
37,"Business and Commerce, General-050100",66,63,54,95.45%,81.82%,69,62,50,89.86%,72.46%,Marin Total
38,Business Management-050600,30,29,20,96.67%,66.67%,0,0,0,0,0,Marin Total
39,Court Reporting-051430,51,51,46,100.00%,90.20%,50,48,42,96.00%,84.00%,Marin Total
40,E-Commerce (Business emphasis)-050970,20,15,13,75.00%,65.00%,17,12,9,70.59%,52.94%,Marin Total
41,Escrow-051110,0,0,0,0,0,11,11,5,100.00%,45.45%,Marin Total
42,Marketing and Distribution-050900,9,5,4,55.56%,44.44%,29,27,17,93.10%,58.62%,Marin Total
43,Real Estate-051100,73,63,47,86.30%,64.38%,47,41,24,87.23%,51.06%,Marin Total
44,Small Business and Entrepreneurship-050640,49,37,29,75.51%,59.18%,67,52,31,77.61%,46.27%,Marin Total
45,Non Distance Education Methods Total,374,352,292,94.12%,78.07%,299,283,220,94.65%,73.58%,Marin Total
46,Accounting-050200,86,78,62,90.70%,72.09%,72,70,57,97.22%,79.17%,Marin Total
47,Banking and Finance-050400,20,19,11,95.00%,55.00%,29,26,15,89.66%,51.72%,Marin Total
48,Business Administration-050500,0,0,0,0,0,15,14,12,93.33%,80.00%,Marin Total
49,"Business and Commerce, General-050100",128,122,102,95.31%,79.69%,69,64,43,92.75%,62.32%,Marin Total
0,Court Reporting-051430,89,87,79,97.75%,88.76%,25,23,19,92.00%,76.00%,Marin Total
1,Real Estate-051100,51,46,38,90.20%,74.51%,41,39,30,95.12%,73.17%,Marin Total
2,Small Business and Entrepreneurship-050640,0,0,0,0,0,48,47,44,97.92%,91.67%,Marin Total
3,Simultaneous Interaction (Internet Based) Total,21,20,19,95.24%,90.48%,27,25,19,92.59%,70.37%,Marin Total
4,Court Reporting-051430,21,20,19,95.24%,90.48%,27,25,19,92.59%,70.37%,Marin Total
5,Mendocino Total,846,725,579,85.70%,68.44%,955,855,711,89.53%,74.45%,Mendocino Total
6,Delayed Interaction (Internet Based) Total,707,607,477,85.86%,67.47%,769,688,571,89.47%,74.25%,Mendocino Total
7,Accounting-050200,205,176,146,85.85%,71.22%,166,155,125,93.37%,75.30%,Mendocino Total
8,Business Administration-050500,32,32,24,100.00%,75.00%,65,59,51,90.77%,78.46%,Mendocino Total
9,"Business and Commerce, General-050100",93,73,61,78.49%,65.59%,121,102,85,84.30%,70.25%,Mendocino Total
10,Business Management-050600,79,55,41,69.62%,51.90%,48,43,37,89.58%,77.08%,Mendocino Total
11,Customer Service-051800,28,26,23,92.86%,82.14%,24,20,18,83.33%,75.00%,Mendocino Total
12,Marketing and Distribution-050900,32,24,18,75.00%,56.25%,27,25,19,92.59%,70.37%,Mendocino Total
13,Medical Office Technology-051420,97,89,72,91.75%,74.23%,106,94,84,88.68%,79.25%,Mendocino Total
14,Real Estate-051100,97,95,64,97.94%,65.98%,127,117,88,92.13%,69.29%,Mendocino Total
15,Retail Store Operations and Management-050650,16,11,8,68.75%,50.00%,24,19,13,79.17%,54.17%,Mendocino Total
16,Small Business and Entrepreneurship-050640,28,26,20,92.86%,71.43%,61,54,51,88.52%,83.61%,Mendocino Total
17,Non Distance Education Methods Total,139,118,102,84.89%,73.38%,186,167,140,89.78%,75.27%,Mendocino Total
18,Accounting-050200,49,35,29,71.43%,59.18%,81,72,54,88.89%,66.67%,Mendocino Total
19,Business Administration-050500,9,8,8,88.89%,88.89%,0,0,0,0,0,Mendocino Total
20,"Business and Commerce, General-050100",50,46,39,92.00%,78.00%,29,24,17,82.76%,58.62%,Mendocino Total
21,Business Management-050600,16,16,14,100.00%,87.50%,0,0,0,0,0,Mendocino Total
22,Customer Service-051800,0,0,0,0,0,36,36,35,100.00%,97.22%,Mendocino Total
23,Medical Office Technology-051420,13,11,10,84.62%,76.92%,24,22,22,91.67%,91.67%,Mendocino Total
24,Real Estate-051100,2,2,2,100.00%,100.00%,16,13,12,81.25%,75.00%,Mendocino Total
25,Merced Total,"2,503","2,295","1,931",91.69%,77.15%,"2,349","2,199","1,800",93.61%,76.63%,Merced Total
26,Delayed Interaction (Internet Based) Total,"1,841","1,696","1,412",92.12%,76.70%,"1,897","1,779","1,429",93.78%,75.33%,Merced Total
27,Accounting-050200,387,349,298,90.18%,77.00%,407,370,284,90.91%,69.78%,Merced Total
28,Advertising-050910,44,38,27,86.36%,61.36%,49,45,31,91.84%,63.27%,Merced Total
29,"Business and Commerce, General-050100",485,442,349,91.13%,71.96%,553,522,381,94.39%,68.90%,Merced Total
30,International Business and Trade-050800,49,46,27,93.88%,55.10%,49,48,16,97.96%,32.65%,Merced Total
31,Management Development and Supervision-050630,275,266,260,96.73%,94.55%,317,312,310,98.42%,97.79%,Merced Total
32,Marketing and Distribution-050900,42,38,33,90.48%,78.57%,61,57,50,93.44%,81.97%,Merced Total
33,Medical Office Technology-051420,74,72,68,97.30%,91.89%,37,31,28,83.78%,75.68%,Merced Total
34,Office Technology/Office Computer Applications-051400,309,279,230,90.29%,74.43%,285,264,225,92.63%,78.95%,Merced Total
35,Real Estate-051100,124,119,94,95.97%,75.81%,89,86,77,96.63%,86.52%,Merced Total
36,Small Business and Entrepreneurship-050640,52,47,26,90.38%,50.00%,50,44,27,88.00%,54.00%,Merced Total
37,Non Distance Education Methods Total,650,588,509,90.46%,78.31%,432,400,359,92.59%,83.10%,Merced Total
38,Accounting-050200,155,132,117,85.16%,75.48%,114,105,85,92.11%,74.56%,Merced Total
39,"Business and Commerce, General-050100",288,255,203,88.54%,70.49%,155,132,111,85.16%,71.61%,Merced Total
40,Management Development and Supervision-050630,145,145,144,100.00%,99.31%,163,163,163,100.00%,100.00%,Merced Total
41,Office Technology/Office Computer Applications-051400,62,56,45,90.32%,72.58%,0,0,0,0,0,Merced Total
42,Simultaneous Interaction (Internet Based) Total,12,11,10,91.67%,83.33%,20,20,12,100.00%,60.00%,Merced Total
43,Accounting-050200,12,11,10,91.67%,83.33%,20,20,12,100.00%,60.00%,Merced Total
44,Merritt Total,900,751,669,83.44%,74.33%,973,819,726,84.17%,74.61%,Merritt Total
45,Delayed Interaction (Internet Based) Total,556,452,391,81.29%,70.32%,526,426,387,80.99%,73.57%,Merritt Total
46,Accounting-050200,31,24,19,77.42%,61.29%,59,40,34,67.80%,57.63%,Merritt Total
47,"Business and Commerce, General-050100",153,139,112,90.85%,73.20%,190,177,156,93.16%,82.11%,Merritt Total
48,Business Management-050600,60,48,35,80.00%,58.33%,26,17,16,65.38%,61.54%,Merritt Total
49,E-Commerce (Business emphasis)-050970,32,19,15,59.38%,46.88%,0,0,0,0,0,Merritt Total
0,Escrow-051110,36,29,26,80.56%,72.22%,0,0,0,0,0,Merritt Total
1,Marketing and Distribution-050900,28,20,20,71.43%,71.43%,0,0,0,0,0,Merritt Total
2,Other Business and Management-059900,37,23,23,62.16%,62.16%,28,19,19,67.86%,67.86%,Merritt Total
3,Real Estate-051100,179,150,141,83.80%,78.77%,223,173,162,77.58%,72.65%,Merritt Total
4,Non Distance Education Methods Total,291,262,242,90.03%,83.16%,279,263,214,94.27%,76.70%,Merritt Total
5,Accounting-050200,26,16,10,61.54%,38.46%,0,0,0,0,0,Merritt Total
6,"Business and Commerce, General-050100",104,100,97,96.15%,93.27%,70,63,55,90.00%,78.57%,Merritt Total
7,E-Commerce (Business emphasis)-050970,0,0,0,0,0,52,46,41,88.46%,78.85%,Merritt Total
8,Marketing and Distribution-050900,50,49,48,98.00%,96.00%,62,62,34,100.00%,54.84%,Merritt Total
9,Real Estate-051100,111,97,87,87.39%,78.38%,95,92,84,96.84%,88.42%,Merritt Total
10,Simultaneous Interaction (Internet Based) Total,53,37,36,69.81%,67.92%,168,130,125,77.38%,74.40%,Merritt Total
11,Advertising-050910,0,0,0,0,0,31,24,23,77.42%,74.19%,Merritt Total
12,Marketing and Distribution-050900,0,0,0,0,0,23,16,16,69.57%,69.57%,Merritt Total
13,Other Business and Management-059900,26,19,19,73.08%,73.08%,0,0,0,0,0,Merritt Total
14,Real Estate-051100,27,18,17,66.67%,62.96%,114,90,86,78.95%,75.44%,Merritt Total
15,MiraCosta Total,"2,440","2,156","1,876",88.36%,76.89%,"2,553","2,203","1,926",86.29%,75.44%,MiraCosta Total
16,Delayed Interaction (Internet Based) Total,"2,116","1,854","1,617",87.62%,76.42%,"2,175","1,869","1,637",85.93%,75.26%,MiraCosta Total
17,Accounting-050200,659,557,489,84.52%,74.20%,684,584,510,85.38%,74.56%,MiraCosta Total
18,Business Administration-050500,705,636,551,90.21%,78.16%,760,681,624,89.61%,82.11%,MiraCosta Total
19,Business Management-050600,337,311,268,92.28%,79.53%,313,270,226,86.26%,72.20%,MiraCosta Total
20,International Business and Trade-050800,0,0,0,0,0,25,17,12,68.00%,48.00%,MiraCosta Total
21,Marketing and Distribution-050900,88,74,65,84.09%,73.86%,67,56,50,83.58%,74.63%,MiraCosta Total
22,Sales and Salesmanship-050940,0,0,0,0,0,33,30,22,90.91%,66.67%,MiraCosta Total
23,Small Business and Entrepreneurship-050640,199,165,137,82.91%,68.84%,202,155,123,76.73%,60.89%,MiraCosta Total
24,Tax Studies-050210,128,111,107,86.72%,83.59%,91,76,70,83.52%,76.92%,MiraCosta Total
25,Non Distance Education Methods Total,324,302,259,93.21%,79.94%,378,334,289,88.36%,76.46%,MiraCosta Total
26,Accounting-050200,141,126,97,89.36%,68.79%,127,101,81,79.53%,63.78%,MiraCosta Total
27,Business Administration-050500,73,70,61,95.89%,83.56%,113,107,102,94.69%,90.27%,MiraCosta Total
28,Business Management-050600,41,37,36,90.24%,87.80%,90,83,69,92.22%,76.67%,MiraCosta Total
29,Marketing and Distribution-050900,50,50,47,100.00%,94.00%,0,0,0,0,0,MiraCosta Total
30,Medical Office Technology-051420,19,19,18,100.00%,94.74%,0,0,0,0,0,MiraCosta Total
31,Small Business and Entrepreneurship-050640,0,0,0,0,0,48,43,37,89.58%,77.08%,MiraCosta Total
32,Mission Total,"1,277","1,148",998,89.90%,78.15%,"1,203","1,078",914,89.61%,75.98%,Mission Total
33,Delayed Interaction (Internet Based) Total,943,833,712,88.34%,75.50%,877,764,636,87.12%,72.52%,Mission Total
34,Accounting-050200,324,284,238,87.65%,73.46%,356,314,273,88.20%,76.69%,Mission Total
35,Business Administration-050500,0,0,0,0,0,15,13,12,86.67%,80.00%,Mission Total
36,"Business and Commerce, General-050100",373,333,302,89.28%,80.97%,255,225,189,88.24%,74.12%,Mission Total
37,Business Management-050600,32,26,20,81.25%,62.50%,29,24,16,82.76%,55.17%,Mission Total
38,International Business and Trade-050800,30,30,21,100.00%,70.00%,24,21,14,87.50%,58.33%,Mission Total
39,Logistics and Materials Transportation-051000,0,0,0,0,0,10,7,7,70.00%,70.00%,Mission Total
40,Marketing and Distribution-050900,29,25,21,86.21%,72.41%,0,0,0,0,0,Mission Total
41,Office Technology/Office Computer Applications-051400,155,135,110,87.10%,70.97%,139,124,101,89.21%,72.66%,Mission Total
42,Small Business and Entrepreneurship-050640,0,0,0,0,0,49,36,24,73.47%,48.98%,Mission Total
43,Non Distance Education Methods Total,334,315,286,94.31%,85.63%,326,314,278,96.32%,85.28%,Mission Total
44,Accounting-050200,74,61,51,82.43%,68.92%,41,36,34,87.80%,82.93%,Mission Total
45,"Business and Commerce, General-050100",226,220,201,97.35%,88.94%,240,234,206,97.50%,85.83%,Mission Total
46,Business Management-050600,34,34,34,100.00%,100.00%,34,34,28,100.00%,82.35%,Mission Total
47,Office Technology/Office Computer Applications-051400,0,0,0,0,0,11,10,10,90.91%,90.91%,Mission Total
48,Modesto Total,"2,908","2,457","1,961",84.49%,67.43%,"2,657","2,179","1,719",82.01%,64.70%,Modesto Total
49,Delayed Interaction (Internet Based) Total,"2,141","1,802","1,464",84.17%,68.38%,"2,250","1,830","1,460",81.33%,64.89%,Modesto Total
0,Accounting-050200,340,289,244,85.00%,71.76%,506,374,290,73.91%,57.31%,Modesto Total
1,Banking and Finance-050400,40,37,32,92.50%,80.00%,0,0,0,0,0,Modesto Total
2,"Business and Commerce, General-050100",727,643,553,88.45%,76.07%,657,565,496,86.00%,75.49%,Modesto Total
3,Business Management-050600,107,94,78,87.85%,72.90%,112,101,81,90.18%,72.32%,Modesto Total
4,Logistics and Materials Transportation-051000,79,60,50,75.95%,63.29%,55,33,20,60.00%,36.36%,Modesto Total
5,Management Development and Supervision-050630,23,23,19,100.00%,82.61%,0,0,0,0,0,Modesto Total
6,Marketing and Distribution-050900,0,0,0,0,0,59,46,39,77.97%,66.10%,Modesto Total
7,Office Technology/Office Computer Applications-051400,573,441,323,76.96%,56.37%,538,418,337,77.70%,62.64%,Modesto Total
8,Real Estate-051100,211,186,141,88.15%,66.82%,289,266,175,92.04%,60.55%,Modesto Total
9,Small Business and Entrepreneurship-050640,41,29,24,70.73%,58.54%,34,27,22,79.41%,64.71%,Modesto Total
10,Non Distance Education Methods Total,767,655,497,85.40%,64.80%,407,349,259,85.75%,63.64%,Modesto Total
11,Accounting-050200,329,264,193,80.24%,58.66%,165,139,108,84.24%,65.45%,Modesto Total
12,"Business and Commerce, General-050100",266,249,192,93.61%,72.18%,198,177,123,89.39%,62.12%,Modesto Total
13,Logistics and Materials Transportation-051000,12,8,6,66.67%,50.00%,0,0,0,0,0,Modesto Total
14,Marketing and Distribution-050900,29,22,19,75.86%,65.52%,17,13,13,76.47%,76.47%,Modesto Total
15,Office Technology/Office Computer Applications-051400,42,35,30,83.33%,71.43%,10,9,8,90.00%,80.00%,Modesto Total
16,Real Estate-051100,65,59,46,90.77%,70.77%,0,0,0,0,0,Modesto Total
17,Small Business and Entrepreneurship-050640,24,18,11,75.00%,45.83%,17,11,7,64.71%,41.18%,Modesto Total
18,Monterey Total,"1,198","1,074",869,89.65%,72.54%,"1,031",905,753,87.78%,73.04%,Monterey Total
19,Delayed Interaction (Internet Based) Total,840,743,573,88.45%,68.21%,721,623,500,86.41%,69.35%,Monterey Total
20,Accounting-050200,137,124,107,90.51%,78.10%,106,84,72,79.25%,67.92%,Monterey Total
21,Banking and Finance-050400,40,29,22,72.50%,55.00%,21,14,11,66.67%,52.38%,Monterey Total
22,Business Administration-050500,259,230,177,88.80%,68.34%,212,178,156,83.96%,73.58%,Monterey Total
23,Business Management-050600,51,39,26,76.47%,50.98%,124,112,81,90.32%,65.32%,Monterey Total
24,Customer Service-051800,15,11,8,73.33%,53.33%,25,20,15,80.00%,60.00%,Monterey Total
25,E-Commerce (Business emphasis)-050970,0,0,0,0,0,28,23,19,82.14%,67.86%,Monterey Total
26,Marketing and Distribution-050900,24,22,17,91.67%,70.83%,24,18,13,75.00%,54.17%,Monterey Total
27,Office Technology/Office Computer Applications-051400,123,117,99,95.12%,80.49%,122,118,86,96.72%,70.49%,Monterey Total
28,Real Estate-051100,91,87,63,95.60%,69.23%,45,43,36,95.56%,80.00%,Monterey Total
29,Sales and Salesmanship-050940,30,28,12,93.33%,40.00%,0,0,0,0,0,Monterey Total
30,Small Business and Entrepreneurship-050640,70,56,42,80.00%,60.00%,14,13,11,92.86%,78.57%,Monterey Total
31,Non Distance Education Methods Total,358,331,296,92.46%,82.68%,310,282,253,90.97%,81.61%,Monterey Total
32,Accounting-050200,52,50,40,96.15%,76.92%,41,35,30,85.37%,73.17%,Monterey Total
33,Banking and Finance-050400,65,61,57,93.85%,87.69%,0,0,0,0,0,Monterey Total
34,Business Administration-050500,166,150,135,90.36%,81.33%,183,168,149,91.80%,81.42%,Monterey Total
35,Business Management-050600,18,15,13,83.33%,72.22%,13,12,12,92.31%,92.31%,Monterey Total
36,Marketing and Distribution-050900,57,55,51,96.49%,89.47%,0,0,0,0,0,Monterey Total
37,Real Estate-051100,0,0,0,0,0,20,18,16,90.00%,80.00%,Monterey Total
38,Small Business and Entrepreneurship-050640,0,0,0,0,0,53,49,46,92.45%,86.79%,Monterey Total
39,Moorpark Total,592,397,350,67.06%,59.12%,"2,236","2,010","1,791",89.89%,80.10%,Moorpark Total
40,Delayed Interaction (Internet Based) Total,177,0,0,0.00%,0.00%,"1,808","1,611","1,446",89.10%,79.98%,Moorpark Total
41,Accounting-050200,54,0,0,0.00%,0.00%,593,518,462,87.35%,77.91%,Moorpark Total
42,"Business and Commerce, General-050100",47,0,0,0.00%,0.00%,597,554,504,92.80%,84.42%,Moorpark Total
43,Business Management-050600,43,0,0,0.00%,0.00%,436,381,338,87.39%,77.52%,Moorpark Total
44,International Business and Trade-050800,8,0,0,0.00%,0.00%,60,57,47,95.00%,78.33%,Moorpark Total
45,Logistics and Materials Transportation-051000,0,0,0,0,0,11,9,9,81.82%,81.82%,Moorpark Total
46,Marketing and Distribution-050900,16,0,0,0.00%,0.00%,94,77,71,81.91%,75.53%,Moorpark Total
47,Tax Studies-050210,9,0,0,0.00%,0.00%,17,15,15,88.24%,88.24%,Moorpark Total
48,Non Distance Education Methods Total,415,397,350,95.66%,84.34%,428,399,345,93.22%,80.61%,Moorpark Total
49,Accounting-050200,147,139,120,94.56%,81.63%,154,148,131,96.10%,85.06%,Moorpark Total
0,"Business and Commerce, General-050100",143,140,120,97.90%,83.92%,92,79,69,85.87%,75.00%,Moorpark Total
1,Business Management-050600,125,118,110,94.40%,88.00%,150,144,126,96.00%,84.00%,Moorpark Total
2,Marketing and Distribution-050900,0,0,0,0,0,32,28,19,87.50%,59.38%,Moorpark Total
3,Moreno Valley Total,"1,297","1,163",820,89.67%,63.22%,"1,077",989,743,91.83%,68.99%,Moreno Valley Total
4,Delayed Interaction (Internet Based) Total,"1,020",913,650,89.51%,63.73%,872,809,628,92.78%,72.02%,Moreno Valley Total
5,Accounting-050200,237,220,166,92.83%,70.04%,215,201,175,93.49%,81.40%,Moreno Valley Total
6,Advertising-050910,0,0,0,0,0,12,12,11,100.00%,91.67%,Moreno Valley Total
7,Business Administration-050500,145,125,94,86.21%,64.83%,114,107,96,93.86%,84.21%,Moreno Valley Total
8,"Business and Commerce, General-050100",185,164,112,88.65%,60.54%,110,102,52,92.73%,47.27%,Moreno Valley Total
9,Business Management-050600,60,47,34,78.33%,56.67%,65,60,41,92.31%,63.08%,Moreno Valley Total
10,Management Development and Supervision-050630,52,45,32,86.54%,61.54%,59,54,47,91.53%,79.66%,Moreno Valley Total
11,Marketing and Distribution-050900,90,77,52,85.56%,57.78%,31,21,19,67.74%,61.29%,Moreno Valley Total
12,Real Estate-051100,89,80,55,89.89%,61.80%,83,79,50,95.18%,60.24%,Moreno Valley Total
13,Small Business and Entrepreneurship-050640,162,155,105,95.68%,64.81%,183,173,137,94.54%,74.86%,Moreno Valley Total
14,Non Distance Education Methods Total,277,250,170,90.25%,61.37%,205,180,115,87.80%,56.10%,Moreno Valley Total
15,Accounting-050200,70,65,48,92.86%,68.57%,69,66,48,95.65%,69.57%,Moreno Valley Total
16,Business Administration-050500,59,49,41,83.05%,69.49%,40,29,21,72.50%,52.50%,Moreno Valley Total
17,"Business and Commerce, General-050100",109,99,65,90.83%,59.63%,66,56,33,84.85%,50.00%,Moreno Valley Total
18,Business Management-050600,17,15,7,88.24%,41.18%,19,19,8,100.00%,42.11%,Moreno Valley Total
19,Marketing and Distribution-050900,22,22,9,100.00%,40.91%,11,10,5,90.91%,45.45%,Moreno Valley Total
20,Mt San Antonio Total,"4,063","3,629","3,148",89.32%,77.48%,"3,819","3,423","3,023",89.63%,79.16%,Mt San Antonio Total
21,Delayed Interaction (Internet Based) Total,"2,623","2,314","2,044",88.22%,77.93%,"2,389","2,102","1,853",87.99%,77.56%,Mt San Antonio Total
22,Accounting-050200,901,772,699,85.68%,77.58%,655,578,522,88.24%,79.69%,Mt San Antonio Total
23,Advertising-050910,23,17,16,73.91%,69.57%,30,28,22,93.33%,73.33%,Mt San Antonio Total
24,Banking and Finance-050400,278,255,233,91.73%,83.81%,324,295,268,91.05%,82.72%,Mt San Antonio Total
25,Business Management-050600,839,753,683,89.75%,81.41%,837,742,675,88.65%,80.65%,Mt San Antonio Total
26,International Business and Trade-050800,50,41,36,82.00%,72.00%,69,56,50,81.16%,72.46%,Mt San Antonio Total
27,Labor and Industrial Relations-051600,105,98,83,93.33%,79.05%,78,76,72,97.44%,92.31%,Mt San Antonio Total
28,Logistics and Materials Transportation-051000,27,19,14,70.37%,51.85%,20,12,11,60.00%,55.00%,Mt San Antonio Total
29,Marketing and Distribution-050900,155,142,115,91.61%,74.19%,166,142,105,85.54%,63.25%,Mt San Antonio Total
30,Office Technology/Office Computer Applications-051400,22,19,17,86.36%,77.27%,21,19,16,90.48%,76.19%,Mt San Antonio Total
31,Real Estate-051100,147,129,96,87.76%,65.31%,120,104,76,86.67%,63.33%,Mt San Antonio Total
32,Retail Store Operations and Management-050650,18,16,12,88.89%,66.67%,12,12,7,100.00%,58.33%,Mt San Antonio Total
33,Small Business and Entrepreneurship-050640,58,53,40,91.38%,68.97%,57,38,29,66.67%,50.88%,Mt San Antonio Total
34,Non Distance Education Methods Total,"1,440","1,315","1,104",91.32%,76.67%,"1,430","1,321","1,170",92.38%,81.82%,Mt San Antonio Total
35,Accounting-050200,554,507,426,91.52%,76.90%,566,525,469,92.76%,82.86%,Mt San Antonio Total
36,Banking and Finance-050400,74,72,70,97.30%,94.59%,144,141,124,97.92%,86.11%,Mt San Antonio Total
37,"Business and Commerce, General-050100",1,1,1,100.00%,100.00%,2,2,2,100.00%,100.00%,Mt San Antonio Total
38,Business Management-050600,413,382,324,92.49%,78.45%,360,332,311,92.22%,86.39%,Mt San Antonio Total
39,International Business and Trade-050800,34,29,25,85.29%,73.53%,14,13,11,92.86%,78.57%,Mt San Antonio Total
40,Labor and Industrial Relations-051600,44,36,31,81.82%,70.45%,41,37,37,90.24%,90.24%,Mt San Antonio Total
41,Marketing and Distribution-050900,34,32,31,94.12%,91.18%,41,40,32,97.56%,78.05%,Mt San Antonio Total
42,Office Technology/Office Computer Applications-051400,0,0,0,0,0,2,2,2,100.00%,100.00%,Mt San Antonio Total
43,Real Estate-051100,257,231,176,89.88%,68.48%,203,173,130,85.22%,64.04%,Mt San Antonio Total
44,Small Business and Entrepreneurship-050640,29,25,20,86.21%,68.97%,15,15,12,100.00%,80.00%,Mt San Antonio Total
45,Tax Studies-050210,0,0,0,0,0,42,41,40,97.62%,95.24%,Mt San Antonio Total
46,Mt. San Jacinto Total,"2,609","2,353","2,022",90.19%,77.50%,"2,445","2,196","1,907",89.82%,78.00%,Mt. San Jacinto Total
47,Non Distance Education Methods Total,"2,609","2,353","2,022",90.19%,77.50%,"2,445","2,196","1,907",89.82%,78.00%,Mt. San Jacinto Total
48,Accounting-050200,769,706,658,91.81%,85.57%,752,678,612,90.16%,81.38%,Mt. San Jacinto Total
49,Business Administration-050500,287,273,254,95.12%,88.50%,327,297,264,90.83%,80.73%,Mt. San Jacinto Total
0,"Business and Commerce, General-050100",643,584,475,90.82%,73.87%,433,386,315,89.15%,72.75%,Mt. San Jacinto Total
1,Business Management-050600,174,141,113,81.03%,64.94%,140,129,114,92.14%,81.43%,Mt. San Jacinto Total
2,Logistics and Materials Transportation-051000,91,71,46,78.02%,50.55%,79,71,59,89.87%,74.68%,Mt. San Jacinto Total
3,Management Development and Supervision-050630,32,32,23,100.00%,71.88%,23,22,21,95.65%,91.30%,Mt. San Jacinto Total
4,Marketing and Distribution-050900,70,68,59,97.14%,84.29%,76,75,65,98.68%,85.53%,Mt. San Jacinto Total
5,Office Management-051440,28,27,24,96.43%,85.71%,32,32,29,100.00%,90.63%,Mt. San Jacinto Total
6,Office Technology/Office Computer Applications-051400,175,172,161,98.29%,92.00%,237,205,176,86.50%,74.26%,Mt. San Jacinto Total
7,Real Estate-051100,262,209,143,79.77%,54.58%,272,234,191,86.03%,70.22%,Mt. San Jacinto Total
8,Small Business and Entrepreneurship-050640,35,32,31,91.43%,88.57%,39,36,33,92.31%,84.62%,Mt. San Jacinto Total
9,Tax Studies-050210,43,38,35,88.37%,81.40%,35,31,28,88.57%,80.00%,Mt. San Jacinto Total
10,Napa Total,787,715,541,90.85%,68.74%,511,470,388,91.98%,75.93%,Napa Total
11,Delayed Interaction (Internet Based) Total,742,672,504,90.57%,67.92%,473,442,362,93.45%,76.53%,Napa Total
12,Accounting-050200,328,294,220,89.63%,67.07%,229,216,158,94.32%,69.00%,Napa Total
13,"Business and Commerce, General-050100",264,234,190,88.64%,71.97%,216,201,179,93.06%,82.87%,Napa Total
14,Business Management-050600,41,38,32,92.68%,78.05%,0,0,0,0,0,Napa Total
15,E-Commerce (Business emphasis)-050970,67,65,27,97.01%,40.30%,0,0,0,0,0,Napa Total
16,Marketing and Distribution-050900,42,41,35,97.62%,83.33%,0,0,0,0,0,Napa Total
17,Small Business and Entrepreneurship-050640,0,0,0,0,0,28,25,25,89.29%,89.29%,Napa Total
18,Non Distance Education Methods Total,45,43,37,95.56%,82.22%,38,28,26,73.68%,68.42%,Napa Total
19,"Business and Commerce, General-050100",45,43,37,95.56%,82.22%,38,28,26,73.68%,68.42%,Napa Total
20,Norco College Total,"1,939","1,760","1,313",90.77%,67.72%,"1,774","1,601","1,254",90.25%,70.69%,Norco College Total
21,Delayed Interaction (Internet Based) Total,"1,639","1,479","1,080",90.24%,65.89%,"1,453","1,308","1,027",90.02%,70.68%,Norco College Total
22,Accounting-050200,396,354,256,89.39%,64.65%,360,319,242,88.61%,67.22%,Norco College Total
23,Advertising-050910,33,32,18,96.97%,54.55%,30,29,21,96.67%,70.00%,Norco College Total
24,Business Administration-050500,371,325,288,87.60%,77.63%,225,194,166,86.22%,73.78%,Norco College Total
25,"Business and Commerce, General-050100",306,289,201,94.44%,65.69%,194,175,141,90.21%,72.68%,Norco College Total
26,Business Management-050600,30,24,19,80.00%,63.33%,44,41,38,93.18%,86.36%,Norco College Total
27,Logistics and Materials Transportation-051000,138,124,83,89.86%,60.14%,88,83,70,94.32%,79.55%,Norco College Total
28,Management Development and Supervision-050630,188,170,110,90.43%,58.51%,142,125,98,88.03%,69.01%,Norco College Total
29,Marketing and Distribution-050900,23,21,16,91.30%,69.57%,0,0,0,0,0,Norco College Total
30,Office Technology/Office Computer Applications-051400,14,11,5,78.57%,35.71%,49,45,36,91.84%,73.47%,Norco College Total
31,Real Estate-051100,140,129,84,92.14%,60.00%,230,215,143,93.48%,62.17%,Norco College Total
32,Small Business and Entrepreneurship-050640,0,0,0,0,0,91,82,72,90.11%,79.12%,Norco College Total
33,Non Distance Education Methods Total,300,281,233,93.67%,77.67%,321,293,227,91.28%,70.72%,Norco College Total
34,Accounting-050200,126,118,96,93.65%,76.19%,130,118,83,90.77%,63.85%,Norco College Total
35,Business Administration-050500,76,69,65,90.79%,85.53%,98,90,85,91.84%,86.73%,Norco College Total
36,"Business and Commerce, General-050100",98,94,72,95.92%,73.47%,84,76,50,90.48%,59.52%,Norco College Total
37,Marketing and Distribution-050900,0,0,0,0,0,9,9,9,100.00%,100.00%,Norco College Total
